feature_id,R187,R224,R229,R239,R252,R269,R279,R284,R300,R306,R308,R310,R314,R326,R333,R335,R338,R346,R363,R370,R373,R374,R375,R392,R396,R409,R411,R415,R424,R426,R186,R217,R218,R225,R233,R260,R266,R267,R288,R290,R297,R319,R353,R354,R369,R391,R416,R419,R428
Q9H7L9,5240.12,4034.07,3294.34,4637.233333,3963.233333,3543.056667,5923.013333,3906.25,4194.856667,4125.45,4879.236667,4282.55,4589.79,4158.645,5929.895,3380.046667,4798.93,2730.74,4252.3,4067.486667,4589.573333,3574.25,4576.92,4294.763333,2004.435,4027.993333,3330.24,3983.165,3398.836667,888.147,3551.493333,3672.656667,5443.34,3124.973333,3984.025,4008.763333,5698.28,3117.07,3805.156667,3882.77,3930.516667,3330.623333,5366.92,4466.496667,3080.625,3867.46,4228,2897.296667,3534.455
Q9H7N4,8253.13,10866.91,9673.3,11427.99,9163.073333,9158.673333,9752.386667,11092.03,13524.66667,11637.63667,11265.14667,16893.25,13859.79,11199.16,11614.11667,9771.483333,9970.285,7874.23,8187.72,11489.1,9930.603333,8904.65,7516.35,9661.95,NA,9639.183333,12866.56667,10842.51333,10874.26333,9201.126667,7874.383333,9008.203333,9293.66,8482.216667,8679.346667,7950.39,8946.463333,8179.706667,11440.55,14999.13333,12506.72,9045.033333,8800.933333,8711.473333,8255.476667,11607.29333,10870.06333,7663.463333,13617.9
Q9H7X7,3141.605,3314.87,4018.04,5016.123333,4254.516667,4631.66,NA,4077.775,3091.84,3173.545,NA,4258.29,NA,3710.795,3921.58,8916.2,5573.65,4484.34,NA,NA,6111.7,3512.09,NA,NA,NA,5762.76,3617.32,NA,NA,NA,6840.76,5864.6,2505.34,3256.73,4729.485,3462.63,3316.08,5944.04,2909.495,2519.323333,2391.96,4451.925,NA,2254.046667,NA,5295.69,4682.54,3197.3,1554.44
Q9H7Z3,3322.915,4084.78,3499.296667,2796.05,4160.75,2881.86,2954.205,3459.586667,3549.126667,4111.436667,3712.235,2373.8,5566.945,3824.926667,3391.88,2454.505,2495.326667,3076.263333,3736.946667,3103.156667,3161.126667,4216.87,3644.29,3930.356667,3840.896667,3123.856667,3430.046667,3469.043333,2496.04,2866.446667,2782.773333,3922.303333,3977.736667,3245.846667,3919.68,2136.393333,3907.586667,2899.523333,3273.523333,3553.553333,3996.59,4251.473333,3523.255,3186.8,3417.606667,3075.443333,3777.74,2580.913333,2119.43
Q9H7Z6,4430.49,4250.865,2383.455,3669.086667,2160.705,2516.326667,3065.56,1712.194667,3600.885,4589.996667,3317.15,3834,4077.885,2186.4565,2666.246667,2964.102,2225.645,2765.49,3200.41,3004.88,2688.37,4228.676667,7897.34,3173.906667,NA,3052.386667,3759.225,1993.092,2554.91,3040.9,2642.82,2593.01,3838.996667,3946.17,2939.145,3079.195,3167.763333,3074.846667,3913.793333,4973.693333,3300.483333,4406.98,1437.505,3822.34,959.8095,2676.025,3532.09,NA,2404.9
Q9H7Z7,38120.5,38217.8,41983.93333,35669.1,39017.16667,37837.96667,40268.63333,41561.1,34600.03333,31715.53333,39999.53333,42502.5,28772.53333,35827.1,37095.33333,43413.5,34472.66667,44172,46703,43335.4,40390,38902.1,30390.06667,41445.6,59628.53333,36439,36009.63333,40730.83333,44815.26667,45015.13333,41174,35548.46667,38011.2,34600.56667,38488.1,37802.83333,41855.66667,44998.23333,34998.26667,34734.16667,36100.6,43889.23333,40568.1,42147.1,40380.36667,39295.4,39777.8,47345.1,42169.36667
Q9H814,6239.096667,6328.793333,8251.686667,5755.553333,5606.183333,6907.393333,6292.22,7085.35,7795.466667,6235.756667,8563.49,7663.42,8793.05,6996.67,6461.073333,6325.313333,5539.343333,3643.146667,7218.113333,7439.57,6970.27,6650.766667,7773.366667,8929.18,NA,7361.06,8418.606667,7639.413333,7029.886667,5094.736667,6863.583333,7471.62,6143.42,5348.543333,6603.523333,7313.786667,7017.983333,6978.543333,6720.313333,7683.56,9711.746667,6525.056667,6394.82,6127.446667,6286.61,5327.343333,6499.35,6935.013333,8782.103333
Q9H832,41947.16667,46165.23333,34760.86667,38785.5,36755.86667,41887.43333,40883.26667,36764.36667,42251.23333,35065.33333,42364.86667,40600.66667,40714.1,40262.93333,40297.26667,39329.3,37687.66667,41298.9,38108.23333,38522.1,39828.6,37691.83333,38106.03333,34798.13333,25101.1,41110.93333,39729.96667,38013.66667,49572.13333,31470.46667,39560.9,33367.1,36503.03333,42846.53333,41246.13333,40685.13333,40855.8,42882.13333,35900.23333,44597.63333,38230.56667,37749.36667,25314.2,35926.23333,37075,35623.36667,34553.03333,40933.9,39887.1
Q9H845,51934.2,53327.63333,55742.23333,54064.53333,57685.26667,51960.16667,44350.23333,56235.33333,52215.1,56892.86667,56944.96667,48735.9,51577.3,57282.26667,50800.2,52699.16667,63778.96667,56581.1,54867.46667,56422.86667,57872,49971.03333,58103.1,52949.03333,67178.46667,59217.86667,57517.73333,52263.93333,49964.3,72107.7,54411.56667,64403.23333,61333.73333,51957.6,56654.13333,52706.33333,57565.23333,36390.03333,58537.7,56105.7,50429.1,83862.03333,113830.6667,56918.96667,54624.73333,52713.13333,61117.03333,62143.16667,52637.83333
Q9H857,11872.76667,10379.82667,15166.1,9278.293333,15895.9,13662.96667,10190.22,17216.23333,11938.66667,21148.2,19835.26667,15056,11586.8,17976.6,16508.8,12397.6,16130.46667,17721.13333,14957.8,16306.6,19147.33333,26074.3,17507.2,20089.46667,18531.13333,19159.76667,15361,14704.63333,15789.9,33540.13333,10483.89333,12952.46667,10487.44667,15735.66667,14219.06667,11936.89333,12236,12127.46667,17067.86667,13831.33333,15369.4,19531.7,29557.56667,17703.83333,23334.7,23688.43333,21488.13333,12482.43333,13233.83333
