Image,Freq
HPAP-053_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10327
HPAP-053_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9537
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8414
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,12263
HPAP-054_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9593
HPAP-054_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,9221
HPAP-054_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10018
HPAP-054_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,9773
HPAP-054_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,10493
HPAP-054_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,10467
HPAP-054_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,10580
HPAP-066_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7360
HPAP-066_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI4.ome.tiff - Image0,9362
HPAP-066_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,9313
HPAP-066_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8731
HPAP-066_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7597
HPAP-066_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI5.ome.tiff - Image0,8106
HPAP-067_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8197
HPAP-067_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,7510
HPAP-067_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,7853
HPAP-067_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,7622
HPAP-067_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8240
HPAP-067_Imaging mass cytometry_Head of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8424
HPAP-067_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8126
HPAP-067_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI2.ome.tiff - Image0,8508
HPAP-067_Imaging mass cytometry_Tail of pancreas_FFPE-Stain Panel 1_ROI3.ome.tiff - Image0,8213
HPAP-069_Imaging mass cytometry_Body of pancreas_FFPE-Stain Panel 1_ROI1.ome.tiff - Image0,8916
