"","AL.oldAL1","AL.oldAL2","CR.oldCR1","CR.oldCR2"
"Gckr",4,0,1,5
"Zfp512",80,60,84,255
"Ccdc121",1,0,3,2
"Gpn1",20,12,20,36
"Supt7l",8,6,7,5
"Slc4a1ap",77,48,60,158
"AI839979",4,2,1,3
"Gm43660",1,0,1,2
"Mrpl33",69,26,31,128
"Rbks",59,51,50,133
"Babam2",792,409,607,1607
"Gm17130",2,1,0,1
"Fosl2",49,8,60,166
"Plb1",0,0,0,2
"Gm36840",0,1,0,0
"Ppp1cb",530,226,486,1152
"Gm15614",9,11,5,21
"Yes1",130,61,102,274
"Pisd",56,55,39,166
"Prr14l",238,177,207,572
"Depdc5",156,94,123,346
"Ywhah",26,25,34,73
"Slc5a1",0,1,0,0
"Spon2",6,3,2,10
"Ctbp1",62,45,48,171
"Maea",80,48,48,179
"Uvssa",149,85,158,391
"Fam53a",24,19,30,92
"Gm9903",3,2,2,7
"Slbp",45,20,22,50
"Tmem129",0,2,1,3
"Tacc3",11,7,2,27
"Fgfr3",2,0,1,1
"Letm1",40,25,30,69
"Nsd2",261,156,259,556
"Nelfa",38,21,31,97
"Gm42849",0,0,2,1
"Gm42851",2,0,4,4
"Gm1673",1,1,0,0
"Poln",2,1,8,16
"Haus3",4,2,3,9
"Mxd4",94,57,108,301
"Zfyve28",0,0,0,1
"Gm57273",2,1,1,3
"Rnf4",74,23,70,178
"Fam193a",400,229,335,943
"Tnip2",46,28,52,110
"Sh3bp2",7,1,2,13
"Add1",130,66,101,284
"Mfsd10",12,10,8,28
"Nop14",60,35,59,115
"Grk4",38,30,56,141
"Gm42560",0,0,2,2
"Htt",342,151,261,776
"Msantd1",6,5,6,17
"Rgs12",23,16,18,59
"Hgfac",24,12,26,136
"Dok7",3,2,4,12
"Lrpap1",18,23,25,71
"Trmt44",9,9,5,26
"Acox3",26,15,27,36
"Htra3",0,0,0,0
"Sh3tc1",0,0,0,0
"Ablim2",27,18,27,69
"Afap1",5,4,4,15
"Sorcs2",174,114,341,226
"Psapl1",0,0,0,1
"2210406O10Rik",2,3,3,16
"Grpel1",40,17,29,78
"Tada2b",13,11,20,53
"Ccdc96",5,2,5,18
"Tbc1d14",173,62,114,334
"D5Ertd579e",323,140,222,744
"Gm57280",0,2,2,3
"Bloc1s4",1,1,1,2
"Mrfap1",30,23,35,59
"Man2b2",17,10,19,30
"Ppp2r2c",25,30,41,109
"Wfs1",40,52,24,108
"Jakmip1",89,91,65,226
"Gm1043",118,90,85,248
"Crmp1",134,49,87,264
"Evc",1,6,0,11
"Evc2",5,5,2,5
"Stk32b",25,5,7,14
"Msx1",2,0,0,4
"Stx18",275,202,227,743
"Nsg1",1,1,1,7
"Zbtb49",11,7,18,41
"Lyar",4,3,7,36
"Tmem128",8,8,17,28
"Slc2a9",52,36,73,163
"Wdr1",122,35,140,417
"Gm57313",1,0,1,3
"Zfp518b",7,4,7,11
"Clnk",0,0,1,2
"4930513D17Rik",0,0,0,1
"Hs3st1",2,3,2,0
"Rab28",160,80,150,459
"Bod1l",345,178,280,775
"Gm16223",0,1,0,1
"Gm7854",9,9,6,27
"Cpeb2",123,51,56,258
"C1qtnf7",0,0,0,2
"Gm15866",0,0,0,0
"Cc2d2a",173,124,225,515
"Fbxl5",94,70,117,222
"Bst1",1,0,0,3
"Cd38",1,0,0,0
"Gm16014",0,0,0,0
"Prom1",216,167,183,534
"Gm42716",12,7,9,20
"Gm16401",1,3,0,2
"Tapt1",113,67,128,282
"Gm42982",3,1,1,1
"Gm42984",9,14,8,17
"Ldb2",3,3,8,0
"Gm43507",0,0,0,0
"Gm3364",1,0,0,0
"D5Ertd615e",5,1,7,15
"Qdpr",15,13,17,43
"Gm42413",6,4,3,10
"Lap3",17,7,7,25
"Med28",8,1,14,22
"Fam184b",6,11,0,7
"9630001P10Rik",0,0,0,2
"Ncapg",0,2,0,1
"Lcorl",631,301,517,1447
"Slit2",2,0,0,0
"5730480H06Rik",60,51,55,149
"Kcnip4",5370,3606,7124,13611
"Gm20700",1,1,1,1
"Adgra3",31,11,23,77
"Gm43016",0,0,1,0
"Ppargc1a",332,105,535,1455
"Dhx15",124,70,103,279
"9230114K14Rik",42,49,23,96
"C130083M11Rik",1,0,0,1
"Sod3",1,0,0,2
"Ccdc149",82,59,106,207
"Lgi2",85,17,30,66
"8030423F21Rik",0,0,1,3
"Sepsecs",337,153,234,738
"Pi4k2b",70,58,58,179
"Zcchc4",65,31,61,147
"Anapc4",120,77,71,277
"Sel1l3",200,137,155,330
"Smim20",16,17,10,26
"Gm45495",1,0,1,3
"Rbpj",87,44,79,216
"Tbc1d19",169,93,156,332
"Stim2",231,159,185,614
"4932441J04Rik",1,0,1,0
"Pcdh7",2,5,1,0
"Gm43042",0,0,0,0
"Arap2",0,2,0,5
"Dthd1",0,0,1,0
"Nwd2",0,1,0,1
"0610040J01Rik",1246,599,1041,2624
"Rell1",138,119,145,479
"Gm15819",0,0,0,0
"Pgm2",54,14,33,91
"Tbc1d1",681,331,666,1799
"Gm43838",0,0,1,8
"Gm31363",0,1,3,1
"Gm57289",0,0,0,2
"Gm20033",10,4,3,21
"Klf3",49,61,80,131
"Tlr1",0,0,0,0
"Fam114a1",175,122,196,437
"Tmem156",0,0,0,0
"Klhl5",22,9,19,30
"Wdr19",39,17,26,99
"Rfc1",131,67,117,323
"Klb",45,12,96,111
"Rpl9",27,24,51,76
"Lias",102,41,93,269
"Ugdh",55,33,35,96
"Smim14",294,264,355,835
"Ube2k",319,216,272,863
"Gm42726",2,0,0,6
"Pds5a",246,146,177,606
"N4bp2os",7,2,2,4
"N4bp2",165,103,155,392
"Rhoh",0,1,0,0
"Chrna9",1,0,0,3
"9130230L23Rik",13,11,16,52
"Rbm47",218,222,267,626
"Gm26725",2,0,5,4
"Nsun7",24,7,13,45
"Apbb2",1143,603,1008,2619
"Uchl1os",24,1,9,38
"Uchl1",17,6,4,31
"Limch1",645,327,475,1183
"Gm42670",0,2,0,0
"Tmem33",31,17,24,58
"Slc30a9",104,80,85,294
"Gm43698",0,0,0,2
"Bend4",11,4,6,25
"Gm26756",0,0,0,3
"Atp8a1",266,140,212,693
"Gm15478",3,3,1,6
"Gm15477",2,0,0,0
"Kctd8",1791,898,1530,3506
"Guf1",97,59,73,206
"Gnpda2",12,8,7,17
"Gabrg1",0,0,1,5
"Gabra2",0,1,0,0
"Cox7b2",1,0,7,6
"Gabra4",3,5,0,10
"Gabrb1",4,0,3,11
"Commd8",10,6,15,18
"Atp10d",8,12,13,27
"Corin",38,18,127,210
"Gm20647",1,0,1,5
"Nfxl1",154,175,119,404
"Slc10a4-ps",1,2,5,7
"Nipal1",202,154,237,772
"Txk",2,3,1,2
"Tec",127,63,123,283
"Slain2",169,95,118,401
"Gm10135",1,2,1,9
"Fryl",900,504,772,2007
"Gm57260",0,0,0,0
"Gm34411",0,0,0,1
"Ociad1",100,65,95,258
"Ociad2",55,46,72,165
"Dcun1d4",133,47,93,232
"Lrrc66",0,0,0,2
"Sgcb",17,3,17,29
"Usp46",74,69,80,158
"Usp46os1",0,1,0,3
"Usp46os2",0,0,0,0
"Dancr",1,0,1,1
"Scfd2",491,457,473,1230
"Fip1l1",237,169,162,544
"Lnx1",493,174,500,1294
"Gm32304",0,0,2,5
"Gm15984",0,0,1,2
"Chic2",98,56,100,219
"Pdgfra",0,0,0,0
"Kit",30,4,47,143
"Gm19590",1,1,2,9
"Kdr",3,0,0,2
"Srd5a3",18,10,8,51
"Tmem165",88,35,68,169
"Clock",349,203,244,680
"Gm7467",3,5,2,5
"Exoc1",72,52,62,185
"Cep135",65,28,40,91
"Cracd",5,0,9,17
"Aasdh",76,30,38,115
"Ppat",563,181,215,1035
"ENSMUSG00000121495",49,11,17,73
"Paics",52,29,40,134
"Srp72",242,160,294,681
"Arl9",4,7,8,18
"Thegl",3,0,1,5
"Hopx",41,33,129,120
"Hopxos",2,1,1,1
"Rest",7,3,0,8
"Noa1",4,6,9,6
"Polr2b",60,37,25,101
"Igfbp7",287,136,257,378
"Gm34648",0,2,0,0
"Adgrl3",293,205,151,492
"Epha5",3,3,9,6
"Cenpc1",136,66,105,284
"Stap1",2,0,0,0
"Uba6",187,66,139,389
"Tmprss11d",1,0,3,4
"Ythdc1",466,159,369,1142
"Ugt2b34",13,15,33,49
"Sult1b1",1,0,0,1
"Sult1d1",20,25,23,81
"Jchain",0,7,2,1
"Utp3",5,8,10,29
"Gm57272",1,0,1,0
"Rufy3",434,281,374,1067
"Grsf1",49,19,28,113
"Gm57324",3,1,4,4
"Mob1b",70,35,71,157
"Dck",12,4,4,32
"Gm42912",4,1,1,3
"Slc4a4",595,235,390,997
"Gc",43,23,43,116
"Adamts3",0,0,0,0
"Cox18",20,22,29,69
"Ankrd17",871,435,704,2201
"Gm9958",1,0,1,0
"Alb",1,0,1,0
"Afm",12,4,7,15
"Albfm1",0,1,1,2
"Rassf6",35,12,33,74
"Cxcl1",0,0,0,0
"Cxcl2",0,0,0,0
"Mthfd2l",23,15,22,52
"Areg",1,1,0,4
"Gm19619",0,0,0,0
"Btc",2,1,3,5
"Parm1",28,25,51,74
"Rchy1",54,32,53,141
"Cdkl2",60,28,44,138
"G3bp2",201,92,149,455
"D430040L24Rik",0,1,1,2
"Uso1",279,256,213,673
"Ppef2",1,1,1,2
"Naaa",4,9,7,9
"Sdad1",40,29,31,107
"Gm43599",0,1,0,0
"Art3",0,1,0,0
"Cxcl10",1,0,2,0
"Nup54",20,20,25,54
"Scarb2",210,81,195,466
"Ccdc158",1,0,1,0
"Shroom3",1321,440,868,2468
"Sowahb",2,2,4,7
"Septin11",109,68,68,231
"Ccni",49,36,61,119
"2010109A12Rik",0,0,3,3
"Ccng2",10,5,5,24
"Cxcl13",0,1,0,2
"Cnot6l",849,477,1003,2337
"Mrpl1",123,113,128,326
"Fras1",441,219,350,955
"Gm42604",0,1,0,1
"Anxa3",2,0,0,0
"1700016F12Rik",0,0,0,0
"Gm33370",0,0,0,0
"Gm8013",0,0,0,0
"Gm9484",0,1,2,2
"Bmp2k",31,24,19,127
"Paqr3",92,14,66,234
"Gm2861",2,5,1,0
"Antxr2",2,0,0,0
"Cfap299",2,2,0,7
"Bmp3",6,5,9,16
"Prkg2",50,19,34,114
"Gm43251",1,1,1,2
"Rasgef1b",295,206,396,827
"Gm35172",1,0,1,0
"Gm16226",0,2,3,5
"Gm38413",1,3,3,6
"Vamp9",7,0,8,15
"Hnrnpd",176,99,127,399
"Gm17092",7,6,2,10
"Hnrnpdl",199,126,119,412
"Enoph1",27,17,13,39
"Tmem150c",96,80,114,258
"Tmem150cos",1,3,2,6
"Sec31a",493,392,437,1105
"5430416N02Rik",3,9,7,18
"Lin54",26,18,27,88
"Cops4",72,52,44,128
"Plac8",0,3,0,0
"Coq2",70,45,63,161
"Hpse",13,2,13,35
"Helq",79,33,48,193
"Mrps18c",5,3,7,12
"Abraxas1",18,7,9,35
"Gm43514",0,1,0,2
"4930458D05Rik",0,0,2,1
"Gpat3",3,0,9,9
"Nkx6-1",361,186,225,797
"9430085M18Rik",2,1,4,5
"Cds1",306,80,172,589
"Wdfy3",523,326,512,1293
"Gm20548",4,1,6,16
"Gm29707",0,0,0,0
"Arhgap24",260,169,144,471
"Mapk10",956,847,1330,2529
"Ptpn13",406,203,322,898
"Gm42620",4,2,3,5
"Slc10a6",0,0,0,1
"Aff1",596,230,353,1334
"Klhl8",27,11,16,68
"Hsd17b13",1,0,2,4
"Hsd17b11",64,24,39,191
"Nudt9",9,6,9,24
"Gm17660",0,0,0,0
"Sparcl1",0,1,0,2
"Gm26703",0,0,0,0
"Spp1",6,8,6,4
"Pkd2",156,86,159,340
"Thoc2l",333,201,311,813
"Zfp33b",21,14,32,60
"Zfp951",60,37,38,173
"Abcg3",0,0,0,0
"Gbp8",5,12,8,23
"Gbp9",1,0,1,0
"Gbp4",2,1,2,20
"Gbp6",2,7,4,15
"Gbp11",1,0,3,5
"Lrrc8b",33,14,36,85
"Lrrc8c",0,2,0,2
"C230066G23Rik",0,0,0,0
"Gm57323",11,2,11,23
"Lrrc8d",462,309,521,1463
"Lrrc8dos",0,1,0,9
"Zfp326",82,52,86,274
"Gm28050",0,4,2,3
"Zfp644",299,159,326,828
"Hfm1",9,5,6,10
"Cdc7",6,9,2,11
"Gm33474",5,5,1,8
"Tgfbr3",370,93,290,763
"Brdt",26,20,24,81
"Gm42902",7,6,4,8
"Ephx4",8,3,2,13
"Gm17202",1,0,3,3
"Btbd8",127,31,81,229
"1700028K03Rik",4,1,1,8
"Glmn",78,44,67,173
"Rpap2",53,33,40,148
"A930041C12Rik",0,0,1,4
"Gm26692",7,5,12,21
"Evi5",168,98,136,359
"Rpl5",34,42,43,49
"Dipk1a",43,19,19,86
"Mtf2",138,73,133,374
"Tmed5",46,13,28,77
"Ccdc18",1,4,2,4
"Dr1",19,13,9,33
"Pigg",19,16,34,72
"9330198I05Rik",0,0,1,1
"Gm10419",1,1,0,1
"Atp5k",5,3,0,0
"Mfsd7a",1,0,0,3
"Pcgf3",44,31,25,104
"Gak",216,98,162,571
"Tmem175",48,33,44,93
"Dgkq",22,26,22,76
"Idua",18,11,20,36
"Slc26a1",0,2,0,1
"Fgfrl1",1,1,3,4
"Gm20629",8,12,34,53
"Crlf2",12,8,12,37
"5430403G16Rik",13,14,17,52
"A430073D23Rik",21,18,32,60
"4930522L14Rik",0,7,5,1
"Gm57295",5,3,4,7
"ENSMUSG00000121596",16,13,18,41
"Gm26779",15,9,6,16
"Gm15446",29,27,21,58
"Zfp932",24,31,31,90
"Gm17655",7,6,8,9
"Gm35315",7,2,0,14
"Plcxd1",6,3,5,5
"Gtpbp6",18,9,12,33
"Zfp605",21,8,17,33
"Chfr",112,60,98,281
"Gm15787",5,0,6,9
"Golga3",174,136,145,451
"Gm43138",6,10,6,22
"Ankle2",112,45,86,225
"Pgam5",14,15,17,27
"Gm15788",5,1,4,22
"Pxmp2",1,0,3,1
"Pole",2,4,0,3
"Fbrsl1",395,191,368,1020
"A630023P12Rik",0,2,1,5
"Galnt9",136,24,80,297
"Noc4l",4,2,1,8
"Ddx51",14,9,17,41
"Gm42595",3,1,5,14
"Ep400",407,218,254,712
"Gm15559",3,0,7,9
"Pus1",6,5,2,15
"Ulk1",83,55,92,292
"Hscb",0,6,4,13
"Chek2",0,1,3,1
"Ttc28",589,337,657,1445
"Pitpnb",128,75,83,296
"Gm43118",0,0,0,0
"Mn1",0,0,0,0
"Miat",4,2,11,9
"Crybb1",0,1,0,1
"Tpst2",99,79,152,289
"Tfip11",32,6,12,52
"Srrd",12,2,22,44
"Hps4",52,29,43,117
"Asphd2",0,0,1,1
"Sez6l",2875,1495,2222,6061
"Ccdc121rt2",7,7,5,27
"Myo18b",15,8,1,23
"Grk3",697,367,690,1785
"Crybb3",31,9,20,64
"2900026A02Rik",449,216,357,1147
"Gm42161",3,2,3,8
"Sgsm1",661,295,543,1417
"4930405N21Rik",11,12,6,18
"Wscd2",2,2,4,7
"Gm57314",1,0,0,0
"Cmklr1",0,1,0,0
"Ficd",6,8,7,22
"Sart3",41,30,51,158
"Iscu",11,8,17,42
"Tmem119",0,0,1,0
"Selplg",1,0,0,0
"Coro1c",214,70,277,751
"Gm42797",0,0,0,2
"Ssh1",67,38,68,177
"Svop",114,68,142,258
"Usp30",43,25,26,68
"Alkbh2",8,1,1,4
"Ung",3,0,0,10
"Acacb",2,3,7,7
"Myo1h",0,0,0,1
"Kctd10",5,2,3,17
"Ube3b",36,34,43,104
"Mmab",7,3,7,23
"Mvk",6,3,9,26
"Fam222a",192,79,135,475
"Trpv4",0,0,3,8
"Gltp",7,1,3,9
"Tchp",35,17,17,72
"Git2",109,63,136,329
"4930515G01Rik",0,0,0,0
"Ankrd13a",45,26,33,132
"1500011B03Rik",9,11,3,27
"Oasl2",8,2,6,18
"Oasl1",3,5,7,12
"2210016L21Rik",27,25,37,64
"Hnf1a",14,17,12,34
"Hnf1aos1",280,232,451,754
"Sppl3",303,159,260,705
"Acads",13,4,7,15
"Unc119b",17,14,11,55
"Mlec",83,110,66,181
"Cabp1",67,64,113,252
"Gm57268",0,1,1,2
"Pop5",8,10,0,18
"Rnf10",150,116,111,392
"Coq5",38,19,41,99
"Dynll1",18,5,9,7
"Gm13830",8,7,4,19
"Gm57320",0,0,0,1
"Srsf9",7,15,11,19
"Gatc",2,1,2,7
"Triap1",4,3,4,16
"Cox6a1",10,10,12,37
"A430102K17Rik",1,0,0,1
"Gm13832",2,6,0,0
"Msi1",30,23,27,45
"Pla2g1b",0,0,0,0
"Sirt4",11,5,9,28
"Gm57305",2,0,3,4
"Pxn",28,12,24,57
"Rplp0",2,16,22,24
"Gcn1",125,63,127,291
"1110006O24Rik",1,0,0,3
"Rab35",9,7,8,51
"Bicdl1",266,147,189,642
"Cit",8,18,12,26
"Gm14508",2,1,2,2
"Prkab1",18,13,17,25
"Ccdc60",0,3,2,8
"Gm14507",0,0,1,0
"Hspb8",0,2,8,6
"Srrm4os",1,0,0,0
"Srrm4",19,13,20,52
"Suds3",75,58,69,185
"9530046B11Rik",0,2,1,14
"Gm57263",1,0,1,11
"Taok3",363,188,303,723
"Pebp1",20,15,10,44
"BC051077",2,0,0,0
"Gm10399",2,4,3,4
"Vsig10",37,25,67,174
"Wsb2",66,38,74,211
"Rfc5",19,4,9,28
"Gm15728",12,0,5,10
"Ksr2",1354,1298,1293,3156
"Nos1",3,1,2,5
"Fbxo21",126,82,157,373
"Tesc",20,15,24,67
"Fbxw8",144,84,122,346
"Gm9754",1,0,0,1
"Rnft2",14,18,13,41
"Spring1",18,6,4,35
"Med13l",448,222,400,1097
"Tbx3os1",0,5,0,0
"Tbx3",0,1,0,0
"Rbm19",24,23,22,81
"Gm10390",1,0,0,2
"Sdsl",2,1,0,13
"Gm15690",0,0,1,3
"Plbd2",15,14,15,34
"Slc8b1",8,3,7,14
"Tpcn1",96,60,71,244
"Iqcd",4,2,1,3
"Rita1",5,1,5,9
"Ddx54",35,16,36,87
"Gm43579",1,0,0,8
"Cfap73",7,2,9,29
"Rasal1",9,6,1,19
"Dtx1",17,13,11,34
"Oas2",4,0,0,5
"Oas1c",10,2,8,20
"Oas1b",2,4,4,11
"Oas1g",3,1,1,5
"Oas1a",3,3,2,6
"Ptpn11",160,124,167,355
"Rpl6",25,63,52,106
"Hectd4",322,163,262,696
"Gm57321",1,2,1,5
"Trafd1",81,52,84,241
"Gm42917",10,8,3,15
"Gm42918",0,2,0,0
"Naa25",70,36,41,119
"Erp29",34,29,42,102
"Tmem116",7,10,18,22
"Adam1a",7,1,6,11
"Mapkapk5",56,39,47,156
"Aldh2",13,9,7,35
"Acad12",29,10,24,55
"Acad10",50,15,37,101
"Brap",57,25,51,125
"1700064N11Rik",0,2,3,1
"Atxn2",248,152,235,610
"Gm16552",3,2,0,3
"Sh2b3",24,8,13,42
"Pheta1",8,5,8,13
"Cux2",451,194,347,927
"Gm3970",0,0,0,3
"Gm15637",0,0,1,1
"Ppp1cc",67,41,32,121
"Hvcn1",0,1,0,0
"Tctn1",33,16,33,114
"Pptc7",51,35,33,128
"Rad9b",52,19,33,110
"Vps29",13,3,12,38
"Fam216a",21,30,19,70
"Gpn3",17,9,13,38
"Arpc3",15,14,16,45
"Gm57265",0,0,0,1
"Gm42829",4,1,1,3
"Anapc7",33,29,32,82
"Atp2a2",1294,702,1054,2732
"Gm57291",2,3,4,6
"Ift81",257,112,202,557
"P2rx7",1,0,0,0
"P2rx4",220,132,221,579
"Camkk2",207,155,214,508
"Anapc5",269,177,272,724
"Gm33044",0,0,2,1
"Rnf34",43,29,88,181
"Kdm2b",125,96,132,332
"A930024E05Rik",5,3,2,9
"Gm2479",0,0,0,2
"Orai1",13,2,17,36
"Morn3",0,0,2,1
"Tmem120b",44,20,34,148
"Rhof",12,7,7,10
"AI480526",176,138,182,415
"Gm38102",5,4,4,15
"4932422M17Rik",20,7,13,37
"Setd1b",73,53,67,182
"Psmd9",49,36,42,109
"Wdr66",9,8,14,21
"Gm15860",7,3,15,17
"Bcl7a",74,45,72,180
"5830487J09Rik",2,1,2,6
"Gm15747",5,4,2,6
"Mlxip",278,147,209,615
"Gm43813",52,22,32,89
"Lrrc43",0,0,0,1
"Gm15751",1,0,0,0
"Diablo",36,16,36,100
"Gm49027",4,1,3,8
"Vps33a",69,50,81,176
"Clip1",366,199,307,919
"Zcchc8",109,55,81,227
"Rsrc2",533,264,366,1045
"Kntc1",1,3,0,3
"Hcar2",0,1,0,0
"Hcar1",0,1,0,2
"Denr",27,29,17,77
"Ccdc62",122,44,138,345
"Hip1r",118,84,80,235
"Vps37b",37,15,20,105
"Gm34086",5,2,5,6
"Gm43661",0,0,2,1
"Abcb9",141,81,84,256
"Gm16001",1,6,1,5
"Ogfod2",13,6,10,25
"Arl6ip4",18,23,7,48
"Pitpnm2",829,356,854,2294
"Pitpnm2os2",0,1,1,5
"Pitpnm2os1",6,0,4,10
"Mphosph9",158,91,115,400
"Mtrfr",3,6,6,12
"Cdk2ap1",32,24,49,116
"Sbno1",417,189,339,905
"Kmt5a",76,28,82,164
"Rilpl2",34,10,44,114
"Snrnp35",3,7,6,15
"Rilpl1",25,18,12,47
"Tmed2",72,43,53,179
"Ddx55",82,45,58,186
"Eif2b1",14,5,7,25
"Gtf2h3",11,12,17,45
"Tctn2",27,20,20,83
"Atp6v0a2",92,52,54,160
"Dnah10",12,4,7,13
"Ccdc92",93,29,78,253
"Zfp664",110,66,115,291
"Rflna",23,11,18,58
"Ncor2",363,222,287,846
"Gm42839",1,1,2,3
"Gm32585",0,0,0,0
"Scarb1",43,28,55,120
"Ubc",365,411,185,506
"Gm10382",4,2,2,8
"Gm57271",2,3,8,13
"Gm57275",2,1,0,3
"Dhx37",10,7,10,35
"Bri3bp",10,7,9,17
"Aacs",152,46,72,235
"Tmem132b",960,488,904,2720
"Tmem132c",0,0,0,0
"Tmem132cos",0,0,1,0
"Slc15a4",26,16,30,73
"Glt1d1",127,70,117,339
"Tmem132d",0,1,1,1
"Rimbp2",3070,2258,3284,8043
"Gm42875",13,4,6,7
"Stx2",14,7,13,30
"Ran",11,3,8,21
"Adgrd1",0,1,1,8
"Sfswap",246,157,225,678
"Mmp17",0,0,0,0
"Zfp11",3,8,3,5
"Mrps17",16,7,10,42
"Nipsnap2",119,61,137,337
"Gm15903",7,7,3,16
"Psph",2,3,4,15
"Cct6a",74,48,58,138
"Sumf2",7,14,12,30
"Phkg1",1,1,2,7
"Chchd2",5,17,18,33
"Zbed5",11,2,6,30
"Nupr1l",4,0,3,11
"Vkorc1l1",97,73,89,246
"Gusb",17,15,10,45
"Asl",13,5,6,22
"Crcp",26,12,18,64
"Tpst1",80,47,88,255
"Kctd7",7,2,5,10
"Gm57269",6,3,2,8
"Rabgef1",129,59,127,310
"Tmem248",203,75,208,481
"Gm6598",3,5,2,2
"Sbds",122,26,125,313
"Tyw1",51,49,90,188
"Caln1",1,1,5,0
"Galnt17",0,0,0,2
"Gm29681",0,0,2,8
"Auts2",3335,2220,3327,8671
"2810432F15Rik",1,3,0,2
"4930563F08Rik",0,0,4,1
"Gm42439",9,4,3,17
"Gm15627",0,0,0,0
"Castor2",231,231,353,915
"Rcc1l",40,17,32,75
"Gtf2ird2",55,32,64,144
"Ncf1",1,2,0,6
"Gtf2i",500,256,422,1123
"Gm43480",0,1,1,1
"Gtf2ird1",126,108,145,302
"Clip2",85,50,82,244
"Gm42884",0,1,1,1
"Rfc2",43,30,30,99
"Lat2",10,4,5,18
"Eif4h",102,55,102,307
"Limk1",11,3,5,18
"Eln",0,0,0,1
"Gm30003",0,0,0,0
"Mettl27",12,15,29,82
"Cldn4",5,1,9,22
"Cldn3",3,8,4,18
"Wbscr25",6,3,2,9
"Abhd11",14,9,7,19
"Stx1a",19,15,23,55
"Bud23",19,19,11,41
"Dnajc30",3,2,1,6
"Vps37d",14,7,21,68
"Mlxipl",1767,1009,1347,3597
"Gm43500",2,0,2,6
"Tbl2",31,17,30,122
"Bcl7b",30,20,42,88
"Baz1b",442,212,302,912
"Nsun5",9,8,7,27
"Pom121",46,17,46,123
"Hip1",157,94,118,403
"Rhbdd2",44,31,44,155
"Por",369,196,509,1306
"Tmem120a",6,7,10,25
"Styxl1",2,6,10,11
"Mdh2",51,37,41,128
"Srrm3",227,183,205,547
"Srrm3os",0,0,0,2
"Hspb1",4,6,2,6
"Ywhag",127,76,95,270
"Ssc4d",1,2,2,6
"Dtx2",25,26,27,48
"Rasa4",1,2,7,7
"Polr2j",7,9,6,13
"Gm43604",1,0,0,1
"Lrwd1",14,18,9,23
"Alkbh4",1,3,4,7
"Orai2",34,12,17,38
"Prkrip1",38,15,46,103
"Sh2b2",1,0,0,4
"Cux1",368,232,347,903
"Gm16599",13,9,13,39
"Col26a1",1,1,0,0
"Ift22",29,11,15,29
"4933404O12Rik",12,6,8,26
"Fis1",21,15,19,69
"Cldn15",6,0,5,8
"Znhit1",21,12,15,49
"Plod3",18,11,16,37
"Vgf",0,0,3,1
"Ap1s1",13,14,11,32
"Serpine1",0,8,1,13
"Trim56",33,13,26,71
"Gm31160",0,1,2,3
"Muc3a",0,0,3,1
"Gm57304",1,0,1,2
"Gm42456",4,4,1,2
"Ache",24,21,23,23
"Ufsp1",3,7,13,12
"Srrt",141,84,131,323
"Trip6",8,4,6,10
"Slc12a9",23,11,19,61
"Ephb4",0,1,0,1
"Zan",5,7,10,10
"Epo",6,1,6,19
"Pop7",1,3,2,1
"9130604C24Rik",0,1,0,2
"Gm8066",8,8,8,24
"Gigyf1",128,58,110,271
"Gnb2",73,53,52,204
"Gm17112",0,0,2,6
"Actl6b",29,23,28,67
"Tfr2",1,1,0,3
"Mospd3",8,4,4,11
"Pcolce",5,0,3,8
"Fbxo24",3,3,1,4
"Gm36266",4,1,4,13
"Lrch4",23,14,18,52
"Sap25",27,21,19,69
"Agfg2",38,25,39,86
"Nyap1",1,4,5,13
"Spacdr",20,15,7,38
"Ppp1r35",1,2,1,1
"Mepce",18,15,19,38
"Zcwpw1",7,2,10,21
"Pilra",0,0,0,0
"Cyp3a13",0,0,1,2
"Zkscan1",75,28,50,128
"Gm57302",0,0,0,0
"Zscan21",30,22,39,120
"Zfp113",18,12,19,47
"Cops6",4,1,3,6
"Mcm7",8,5,4,17
"Ap4m1",20,17,36,54
"Taf6",18,26,13,45
"Cnpy4",4,2,0,0
"Mblac1",1,0,1,1
"Lamtor4",17,11,15,35
"Trappc14",4,11,4,13
"6330418K02Rik",4,5,2,4
"Gpc2",3,1,0,2
"Stag3",1,1,3,2
"Gm10874",0,0,0,0
"Zfp157",40,28,56,123
"Zfp68",38,16,28,74
"A430033K04Rik",16,10,26,83
"Fam20c",250,133,169,523
"Pdgfa",146,38,85,304
"6330403L08Rik",18,5,10,32
"Prkar1b",251,124,251,581
"Gm15672",2,3,5,10
"Dnaaf5",32,14,32,81
"Sun1",111,64,99,321
"Get4",39,20,24,126
"Adap1",0,0,0,1
"Cox19",21,6,14,33
"3110082I17Rik",74,119,64,205
"Gpr146",15,6,16,40
"C130050O18Rik",0,2,6,8
"Gper1",0,1,0,2
"Zfand2a",23,29,16,71
"Gm57325",1,7,4,3
"Micall2",0,0,4,4
"Ints1",24,10,15,51
"Mafk",75,21,42,152
"Tmem184a",24,14,19,63
"Psmg3",3,2,3,5
"Mad1l1",125,65,90,279
"Gm16122",0,0,2,2
"Gm16120",0,0,2,0
"Nudt1",2,3,1,3
"Mrm2",2,1,1,3
"Snx8",31,22,31,74
"Eif3b",37,26,22,89
"Kif19b",1,2,2,3
"Chst12",3,10,7,20
"Lfng",0,0,1,0
"Ttyh3",16,9,9,38
"Iqce",94,74,68,187
"Brat1",16,14,12,23
