Category,Term,Genes,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact
KEGG_PATHWAY,Glucagon signaling pathway,16%,4,13,104,10620,0.000188,0.0125,31.42,0.0155,0.0124,0.0000058
KEGG_PATHWAY,AMPK signaling pathway,16%,4,13,127,10620,0.00034,0.0125,25.73,0.0278,0.0124,0.0000128
KEGG_PATHWAY,Insulin signaling pathway,16%,4,13,140,10620,0.000452,0.0125,23.34,0.0368,0.0124,0.0000189
KEGG_PATHWAY,Insulin resistance,12%,3,13,110,10620,0.00656,0.136,22.28,0.421,0.134,0.000287
KEGG_PATHWAY,Thermogenesis,12%,3,13,237,10620,0.0282,0.469,10.34,0.907,0.463,0.00266
KEGG_PATHWAY,PI3K-Akt signaling pathway,12%,3,13,368,10620,0.0628,0.846,6.66,0.995,0.836,0.00911
KEGG_PATHWAY,Adipocytokine signaling pathway,8%,2,13,72,10620,0.0784,0.846,22.69,0.999,0.836,0.00337
KEGG_PATHWAY,p53 signaling pathway,8%,2,13,75,10620,0.0816,0.846,21.78,0.999,0.836,0.00365
KEGG_PATHWAY,Longevity regulating pathway,8%,2,13,90,10620,0.0971,0.896,18.15,1.00e+0,0.885,0.00521
