,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
1700019D03Rik,184,281,393,411
Mstn,5,10,2,2
1700019A02Rik,5,3,9,9
Pms1,191,144,165,324
Ormdl1,9,22,18,22
Osgepl1,97,125,89,157
ENSMUSG00000121346,18,32,27,25
Asnsd1,29,45,18,40
Dnah7a,2,0,0,7
Stk17b,99,104,18,27
Hecw2,29,34,0,27
Ccdc150,26,21,19,48
Gtf3c3,333,338,351,710
Pgap1,1307,1305,1339,2678
Ankrd44,3714,3321,3389,6530
4930444A19Rik,79,91,129,183
Sf3b1,2218,1775,1780,4487
Coq10b,474,329,637,1865
Hspd1,278,401,187,446
Hspe1,72,256,81,127
Mob4,377,442,573,971
Rftn2,5,3,1,6
Gm10561,0,1,0,0
Mars2,14,16,15,38
Boll,18,13,16,26
Plcl1,367,275,252,554
Satb2,13,12,14,36
1700066M21Rik,11,26,20,18
Tyw5,71,84,66,99
Maip1,37,46,43,59
Spats2l,131,63,76,242
Kctd18,73,118,93,212
Sgo2a,3,2,5,4
Aox1,144,121,110,262
Aox2,2,3,3,8
Bzw1,540,324,394,959
Clk1,3021,2234,2776,6168
Ppil3,35,50,40,57
Nif3l1,32,52,33,52
Orc2,224,302,270,511
Gm15834,53,147,124,182
Hycc2,331,376,336,731
Ndufb3,29,47,33,40
Flacc1,2,2,6,5
Gm20257,5,10,11,25
Cflar,303,467,389,668
Casp8,128,137,91,187
Trak2,281,299,275,559
Stradb,73,98,77,140
C2cd6,3,3,9,17
Tmem237,56,74,58,128
G730003C15Rik,3,9,0,6
Mpp4,11,6,16,47
Als2,536,445,586,1170
Gm33667,2,12,2,4
Cdk15,2,2,0,2
Fzd7,2,2,1,1
Gm973,5,7,6,21
Sumo1,926,786,1059,2279
Nop58,431,461,529,1177
B430105G09Rik,4,5,1,7
Bmpr2,1202,1259,1263,2388
Fam117b,1201,712,1107,2700
Ica1l,81,41,30,143
Wdr12,106,180,116,243
Carf,266,350,294,482
Nbeal1,1570,1695,1410,2757
Cyp20a1,185,257,217,422
Abi2,706,807,719,1502
Raph1,69,62,57,109
Cd28,47,75,0,1
Ctla4,39,61,1,0
Gm11588,2,10,3,1
Pard3b,2740,2867,2602,6101
Pard3bos1,12,26,11,31
Pard3bos3,6,4,2,7
Nrp2,23,13,6,23
Ino80d,830,891,727,1456
Ino80dos,305,340,320,532
Gm20342,202,280,166,337
Ndufs1,322,434,325,531
Eef1b2,97,199,161,198
Cmklr2,27,22,40,30
Zdbf2,2247,1913,2313,5347
Adam23,168,230,250,397
Mdh1b,9,23,30,12
Fastkd2,81,88,65,150
Klf7,1133,1113,1396,2745
Gm13748,3,9,3,16
Gm28981,9,18,16,19
Creb1,798,929,724,1566
Mettl21a,46,53,53,60
Gm28982,5,3,2,12
Ccnyl1,125,160,129,301
Fzd5,11,1,3,16
Plekhm3,746,842,752,1485
D630023F18Rik,3,13,4,10
Idh1,74,105,93,130
Pikfyve,565,770,557,1082
Pth2r,2,2,1,4
Map2,6251,6902,6813,13374
Gm10558,9,17,22,41
Unc80,4964,4728,4411,8721
Rpe,119,138,134,291
Kansl1l,807,750,903,1790
Gm57189,45,65,63,122
Acadl,218,206,291,368
Lancl1,244,249,254,470
Erbb4,9,6,3,5
Gm29114,1,3,4,5
Ikzf2,889,938,727,1439
Gm29112,8,5,5,11
Gm28112,9,28,16,23
Spag16,23,5,8,10
Bard1,3,3,0,15
Atic,78,89,76,139
Fn1,1,0,1,0
4933417E11Rik,5,8,10,31
4930556G22Rik,7,3,2,8
Mreg,49,37,9,38
Gm57184,49,86,26,76
Pecr,60,125,72,141
Tmem169,9,10,10,18
Xrcc5,581,668,576,1275
Marchf4,758,701,512,1284
Smarcal1,229,211,202,401
Rpl37a,122,247,238,157
Igfbp5,5,4,18,9
6030407O03Rik,0,0,0,1
Tns1,11,20,0,7
Arpc2,744,822,662,1310
Aamp,106,135,109,202
Pnkd,144,159,130,229
Tmbim1,87,113,113,178
Gm29358,22,19,14,33
Catip,8,1,0,1
