,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Rnf34,141,132,190,315
Kdm2b,542,439,432,852
A930024E05Rik,33,42,37,35
Gm2479,4,2,4,2
Orai1,108,45,48,95
Morn3,3,1,3,3
Tmem120b,98,167,86,240
Rhof,18,40,17,37
AI480526,499,573,598,909
Gm38102,8,17,9,11
4932422M17Rik,29,41,61,64
Setd1b,256,296,239,418
Psmd9,198,199,227,421
Wdr66,13,16,16,26
Gm15860,25,47,44,33
Bcl7a,262,249,336,430
5830487J09Rik,15,9,28,41
Gm15747,15,20,6,26
Mlxip,695,730,585,1397
Gm43813,112,100,114,182
Lrrc43,0,0,1,2
Gm15751,0,0,2,5
Diablo,129,113,112,270
Gm49027,16,15,13,39
Vps33a,350,382,359,711
Clip1,1343,1291,1150,2557
Zcchc8,364,467,354,670
Rsrc2,1842,1627,1943,3850
Kntc1,13,16,11,20
Hcar2,8,7,9,17
Hcar1,15,45,19,30
Denr,113,198,112,207
Ccdc62,512,601,640,1014
Hip1r,524,685,394,680
Vps37b,533,429,284,574
Gm34086,13,18,22,33
Gm43661,0,3,0,4
Abcb9,404,551,360,573
Gm16001,8,24,18,21
Ogfod2,69,66,50,95
Arl6ip4,83,115,68,163
Pitpnm2,3140,3206,2527,5764
Pitpnm2os2,8,13,4,24
Pitpnm2os1,12,22,15,33
Mphosph9,628,692,535,1183
Mtrfr,5,27,15,36
Cdk2ap1,94,102,84,187
Sbno1,1561,1326,1171,2404
Kmt5a,391,405,361,587
Rilpl2,144,136,163,312
Snrnp35,36,44,40,82
Rilpl1,94,79,87,143
Tmed2,319,358,362,638
Ddx55,324,325,300,602
Eif2b1,48,37,63,109
Gtf2h3,60,53,40,81
Tctn2,84,113,111,165
Atp6v0a2,221,307,171,359
Dnah10,4,5,3,16
Ccdc92,240,181,183,482
Zfp664,403,468,364,807
Rflna,157,187,71,220
Ncor2,1206,1455,816,1831
Gm42839,0,2,2,5
Gm32585,0,1,1,4
Scarb1,120,102,129,186
Ubc,445,1513,460,396
Gm10382,4,17,6,12
Gm57271,6,29,23,14
Gm57275,1,9,1,8
Dhx37,49,61,46,73
Bri3bp,26,49,27,42
Aacs,224,265,186,378
Tmem132b,204,283,73,253
Tmem132c,3,4,0,1
Tmem132cos,1,0,0,0
Slc15a4,100,123,112,173
Glt1d1,380,476,275,590
Tmem132d,0,10,8,13
Rimbp2,8297,10300,7516,14477
Gm42875,18,20,11,28
Stx2,55,58,72,67
Ran,51,46,40,83
Adgrd1,3,0,0,3
Sfswap,1050,1050,854,1982
Mmp17,1,0,0,2
Zfp11,17,30,18,22
Mrps17,44,89,71,135
Nipsnap2,628,673,700,1213
Gm15903,24,34,39,51
Psph,29,42,26,51
Cct6a,254,297,217,559
Sumf2,55,46,47,97
Phkg1,11,14,9,25
Chchd2,43,121,94,83
Zbed5,49,32,66,98
Nupr1l,8,18,14,19
Vkorc1l1,410,525,369,720
Gusb,47,69,80,100
Asl,17,27,34,66
Crcp,143,186,134,292
Tpst1,424,435,385,876
Kctd7,16,9,12,29
Gm57269,9,15,8,7
Rabgef1,341,272,253,695
Tmem248,513,402,566,1188
Gm6598,14,33,21,25
Sbds,327,205,383,750
Tyw1,216,282,204,388
Caln1,2,2,3,3
Galnt17,7,5,4,22
Gm29681,4,1,2,0
Auts2,26700,33966,26810,53730
2810432F15Rik,25,75,31,71
4930563F08Rik,11,22,30,39
Gm42439,75,189,202,294
Gm15627,2,1,3,1
Castor2,3098,3986,2945,6660
Rcc1l,145,206,121,264
Gtf2ird2,203,264,261,381
Ncf1,4,10,5,10
Gtf2i,1690,1784,1310,2846
Gm43480,1,3,2,2
Gtf2ird1,480,642,431,1036
Clip2,220,293,171,383
Gm42884,4,8,3,10
Rfc2,110,132,96,229
Lat2,16,15,8,28
Eif4h,366,369,378,816
Limk1,37,61,35,64
Eln,0,1,4,1
Gm30003,0,2,0,3
Mettl27,102,93,163,191
Cldn4,13,14,53,61
Cldn3,18,25,35,26
Wbscr25,7,10,11,14
Abhd11,37,25,20,55
Stx1a,111,119,68,147
Bud23,72,56,46,100
Dnajc30,4,18,11,23
Vps37d,87,123,145,180
Mlxipl,402,422,151,458
Gm43500,1,2,0,3
Tbl2,63,92,58,127
Bcl7b,131,134,167,345
Baz1b,1304,1149,922,1818
Nsun5,37,40,37,71
Pom121,220,185,184,421
Hip1,348,392,370,651
Rhbdd2,191,244,248,521
Por,645,707,790,2082
Tmem120a,57,43,38,95
Styxl1,17,26,35,45
Mdh2,146,212,162,293
Srrm3,764,980,709,1422
Srrm3os,2,2,0,3
Hspb1,11,29,3,2
Ywhag,360,482,425,855
Ssc4d,7,4,2,1
Dtx2,100,93,55,118
Rasa4,2,10,2,3
Polr2j,33,44,27,51
Gm43604,0,1,4,2
Lrwd1,37,49,14,62
Alkbh4,15,12,15,19
Orai2,53,70,49,78
Prkrip1,114,112,125,292
Sh2b2,1,3,1,5
Cux1,1200,1384,1024,2190
Gm16599,45,102,101,161
Col26a1,501,534,374,766
Ift22,58,71,74,123
4933404O12Rik,53,42,48,108
Fis1,93,130,90,185
Cldn15,4,8,1,17
Znhit1,81,114,88,155
Plod3,57,99,68,138
Vgf,40,53,82,95
Ap1s1,64,99,57,114
Serpine1,363,257,770,881
Trim56,147,170,159,254
Gm31160,11,7,3,18
Muc3a,10,10,13,19
Gm57304,11,11,11,13
Gm42456,17,21,14,15
Ache,89,207,99,123
Ufsp1,40,85,36,83
Srrt,514,480,379,651
Trip6,17,26,19,18
Slc12a9,103,111,98,186
Ephb4,1,2,0,3
Zan,75,64,71,130
Epo,15,14,10,42
Pop7,6,9,5,15
9130604C24Rik,0,3,0,2
Gm8066,29,36,27,34
Gigyf1,458,381,356,576
Gnb2,253,275,179,421
Gm17112,3,2,0,3
Actl6b,92,122,115,184
Tfr2,3,2,3,10
Mospd3,15,17,18,20
Pcolce,5,10,3,14
Fbxo24,7,7,5,8
Gm36266,9,17,12,22
Lrch4,69,80,41,103
Sap25,80,102,60,149
Agfg2,101,138,116,180
Nyap1,97,74,76,137
Spacdr,114,188,142,202
Ppp1r35,4,8,9,15
Mepce,71,56,42,153
Zcwpw1,46,38,34,79
Pilra,0,0,0,0
Cyp3a13,14,13,21,16
Zkscan1,248,238,302,513
Gm57302,5,3,4,2
Zscan21,147,154,176,326
Zfp113,71,106,81,137
Cops6,15,39,16,34
Mcm7,32,35,42,52
Ap4m1,113,152,144,230
Taf6,82,136,79,156
Cnpy4,14,12,10,13
Mblac1,1,4,3,0
Lamtor4,43,92,36,87
Trappc14,26,52,27,50
6330418K02Rik,7,16,11,28
Gpc2,3,1,6,5
Stag3,4,2,3,15
Gm10874,1,2,1,0
Zfp157,235,259,237,458
Zfp68,115,164,198,299
A430033K04Rik,73,174,111,156
Fam20c,717,913,426,854
Pdgfa,225,157,194,349
6330403L08Rik,19,27,21,50
Prkar1b,684,666,520,1103
Gm15672,12,11,10,14
Dnaaf5,134,149,131,232
Sun1,436,505,425,861
Get4,154,141,151,364
Adap1,5,3,0,1
Cox19,60,68,56,131
3110082I17Rik,403,768,474,807
Gpr146,64,54,71,115
C130050O18Rik,7,8,7,10
Gper1,3,5,3,3
Zfand2a,133,80,69,210
Gm57325,9,14,13,14
Micall2,4,5,4,6
Ints1,64,82,49,103
Mafk,230,88,123,315
Tmem184a,79,116,108,162
Psmg3,11,20,8,14
Mad1l1,352,490,256,634
Gm16122,3,4,4,11
Gm16120,1,1,0,1
Nudt1,11,17,10,20
Mrm2,4,11,1,10
Snx8,93,117,81,192
Eif3b,118,190,110,223
Kif19b,3,9,3,12
Chst12,14,27,31,30
Lfng,6,1,0,1
Ttyh3,44,46,34,62
Iqce,286,345,255,453
Brat1,54,54,54,87
Amz1,3,1,4,8
Gna12,382,389,359,726
Card11,64,49,0,2
Sdk1,7606,8049,7741,17463
Gm16035,58,132,105,126
Gm16036,5,8,11,29
Foxk1,286,364,219,415
Ap5z1,117,102,84,176
Radil,142,119,208,317
Papolb,17,12,9,18
Mmd2,1,0,0,0
Wipi2,498,414,381,747
Slc29a4,203,197,154,302
Tnrc18,760,856,677,1396
Gm57301,8,9,6,15
Gm57270,0,5,6,5
Fbxl18,82,125,69,161
D430018E03Rik,9,15,8,20
Actb,739,894,1090,1229
Fscn1,8,4,3,7
Rnf216,1458,1604,1193,2413
Gm43378,11,17,19,35
Rbak,47,65,82,136
Spdye4b,2,0,4,0
Zfp12,69,72,53,116
Zfp316,50,61,58,88
BC030343,1,5,4,1
Ints15,16,16,12,32
Zdhhc4,49,64,59,89
0610040B10Rik,30,32,41,56
Grid2ip,4,7,1,6
Gm20635,19,24,14,40
9530056K15Rik,4,10,9,21
Kdelr2,313,374,356,765
Daglb,96,110,81,126
Rac1,304,336,248,664
Fam220a,1,4,1,5
Fam220a.1,89,68,61,140
Cyth3,332,416,314,635
Usp42,216,152,136,367
D130017N08Rik,21,40,35,39
Eif2ak1,259,242,217,516
Ankrd61,7,12,10,14
Aimp2,16,31,12,11
Pms2,129,145,132,273
Gm17135,6,9,6,16
Rsph10b,33,38,30,71
Ccz1,366,394,356,719
Lmtk2,833,819,705,1491
Bhlha15,7,13,7,11
Tecpr1,228,245,181,324
2900089D17Rik,21,9,11,36
Bri3,237,270,329,546
Baiap2l1,1629,1899,1680,3463
Gm15708,10,7,17,14
Nptx2,0,2,2,5
Tmem130,143,205,177,338
Trrap,1082,937,758,1585
Smurf1,491,401,290,734
Kpna7,3,6,3,8
Arpc1a,320,356,371,604
Arpc1b,81,57,65,137
Pdap1,210,254,131,296
Bud31,183,128,175,413
Ptcd1,41,53,38,60
Cpsf4,49,65,47,92
Atp5j2,42,108,82,103
Zkscan14,18,19,24,20
Zkscan5,30,52,46,79
Zfp655,229,215,280,615
Zscan25,91,97,104,169
1700001J03Rik,2,1,0,5
B230303O12Rik,48,26,50,132
Gm43625,33,29,27,72
Rnf6,109,196,166,262
Cdk8,4535,4398,4453,7637
Wasf3,347,347,313,673
Gm57278,1,3,1,1
Gm57259,3,15,4,6
Usp12,431,459,292,721
Rpl21,137,281,255,263
Rasl11a,0,2,0,1
Gtf3a,22,42,24,17
Mtif3,35,55,37,72
Lnx2,154,236,102,258
Polr1d,126,191,109,221
Plut,52,68,17,44
Pdx1,37,83,9,23
Gm27033,7,13,0,4
Flt3,1,5,0,1
Pan3,2386,2606,2356,4849
Flt1,140,233,3,82
Pomp,83,97,64,177
Slc46a3,66,79,84,156
Mtus2,44,39,35,76
Slc7a1,677,374,574,1574
Gm57292,8,6,9,9
Ubl3,3724,2877,3548,7951
2210417A02Rik,2,6,6,2
Katnal1,183,252,187,333
Gm15406,2,0,1,2
1810059H22Rik,5,10,5,8
Gm15409,1,6,0,2
5930430L01Rik,57,91,84,122
Gm15411,5,15,10,26
Gm15408,2,7,6,6
Hmgb1,719,524,561,1021
Mm2pr,6,8,6,11
Gm42788,0,0,1,3
Uspl1,348,324,265,663
Gm57255,1,0,3,2
2310047D07Rik,17,20,4,31
Gm29264,13,9,3,13
Alox5ap,3,4,3,11
Gm19719,1,3,1,1
Medag,1,7,0,4
Gm43150,1,0,3,2
Tex26,41,46,69,139
4933425D22Rik,3,0,2,5
Wdr95,1,4,1,4
Hsph1,1105,2701,852,871
B3glct,38,19,34,61
Fry,2234,2527,2270,4894
Gm42556,11,8,10,8
Gm57319,0,2,6,1
Brca2,125,92,123,293
Gm42529,2,5,3,2
Gm42531,7,2,8,14
N4bp2l1,165,269,187,470
Gm43598,2,3,2,7
Gm43597,18,9,11,32
N4bp2l2,908,891,1045,2368
Pds5b,1591,1423,1279,2965
Gm43807,8,2,6,19
Gm36447,2,28,4,29
Kl,339,434,252,705
Stard13,1453,2644,1694,3614
D730045B01Rik,11,15,21,25
1700028E10Rik,125,97,281,419
Vmn2r18,4,2,4,3
Rfc3,91,53,70,149
Gm20559,49,59,37,78
Samd9l,57,103,55,74
Hepacam2,782,875,703,1576
Vps50,451,565,516,1139
Tfpi2,2,0,0,1
Gng11,4,1,2,1
Bet1,74,174,169,219
Col1a2,97,128,188,327
Casd1,479,526,423,916
Sgce,712,1087,1115,2067
Peg10,26,150,71,97
Ppp1r9a,2595,2966,2404,5124
Pon3,76,105,97,134
Pon2,89,75,61,111
Asb4,31,57,31,63
Pdk4,530,1159,1717,1240
Gm34470,9,13,20,23
Dync1i1,1748,1933,1356,2982
Slc25a13,214,266,208,393
Gm20619,0,1,1,2
Sem1,161,211,253,416
Sdhaf3,119,152,118,194
Asns,175,94,138,323
C1galt1,535,848,574,892
Col28a1,15,24,14,25
Mios,191,202,244,441
Rpa3,24,42,35,57
Umad1,1792,2390,2148,3831
Gm16055,0,9,4,14
Gm16043,14,34,22,39
A430035B10Rik,16,38,14,31
Glcci1,1424,1609,1399,2550
Ica1,4250,4828,3569,8673
Nxph1,11104,9741,9238,20528
Ndufa4,72,75,86,121
Phf14,1335,1420,1342,2711
Thsd7a,822,1101,877,1647
Gm44129,4,3,5,2
Tmem106b,170,202,215,314
Vwde,1125,909,1046,1956
Tmem168,87,119,113,213
Bmt2,1016,1313,1307,2581
Gpr85,26,66,31,68
Smim30,19,45,29,56
1110019D14Rik,298,598,380,716
Foxp2,1851,2666,2236,3109
Mdfic,19,19,3,5
Gm15473,0,1,1,1
Gm4876,16,53,69,73
Tes,386,433,363,674
D830026I12Rik,8,3,9,13
Gm15581,26,55,11,64
Cav2,19,13,19,41
Cav1,27,113,46,148
Met,57,138,87,164
Capza2,305,295,355,672
St7,228,390,286,447
Cftr,0,0,0,0
Cttnbp2,241,129,61,136
Gm15594,7,6,3,10
Gm20186,63,79,56,75
Lsm8,7,15,16,25
Kcnd2,428,372,327,388
Tspan12,702,568,490,1260
Gm3289,1,6,1,8
Ing3,321,230,374,814
Cped1,102,67,21,179
Fam3c,304,523,256,584
Ptprz1,51,91,27,46
Aass,0,0,0,0
Cadps2,711,671,657,1426
Rnf133,3,0,0,1
Iqub,4,6,4,4
Ndufa5,25,29,32,41
Asb15,7,8,8,16
Wasl,673,674,606,1212
Pot1a,190,179,182,356
Grm8,66,195,9,159
6530409C15Rik,22,42,32,61
Zfp800,387,352,321,656
Gcc1,99,52,67,176
Arf5,136,164,160,300
Fscn3,2,2,4,7
Snd1,5362,7732,5078,10702
Lrrc4,261,570,451,757
Gm3294,714,1168,934,2280
Rbm28,299,500,288,609
Prrt4,0,2,0,0
Impdh1,112,119,102,175
Hilpda,0,16,6,3
Garin1a,9,13,7,19
Calu,670,721,698,1520
Ccdc136,135,169,136,296
Atp6v1f,24,18,24,29
Atp6v1fnb,2,2,0,1
Kcp,2,0,0,4
Irf5,4,4,1,1
Tnpo3,799,816,707,1577
Tspan33,161,210,140,265
Smo,27,50,32,53
Ahcyl2,1668,1786,1649,3421
Strip2,22,15,12,63
1700080G18Rik,2,4,4,10
Nrf1,646,713,597,1094
Ube2h,2261,1987,2126,4804
1700095J07Rik,0,0,3,2
Zc3hc1,35,31,46,65
Klhdc10,876,1120,1152,2020
Tmem209,105,126,113,196
Cpa2,85,346,198,322
Cpa4,7,6,16,22
Cpa5,5,3,5,6
Cpa1,0,1,2,1
Cep41,85,250,109,275
Gm13782,4,2,3,2
Mest,55,254,231,304
Copg2,806,1144,1008,1905
Gm56999,15,28,38,47
Gm27019,6,3,8,10
Lncpint,7844,6099,8529,18908
Gm56935,42,23,40,65
Gm13833,8,10,20,27
2210408F21Rik,790,1826,1039,2375
Gm14532,2,2,6,11
Mkln1os,64,123,82,137
Gm13844,28,34,32,89
Mkln1,2005,2232,2145,4551
Podxl,13,21,0,5
Gm13849,1,2,2,10
Plxna4,32,63,25,12
Chchd3,2047,2777,2169,4342
Gm14540,2,5,2,5
Exoc4,8364,11403,12225,19964
Lrguk,212,209,260,491
Gm13856,5,11,3,2
Slc35b4,76,90,51,122
Gm14546,26,15,17,49
Akr1b3,53,63,73,111
Akr1b8,2,3,1,8
Akr1b10,73,104,120,183
Bpgm,34,51,39,62
Cald1,360,727,479,721
Agbl3,185,169,188,362
Tmem140,40,81,74,96
Cyren,21,42,22,43
Wdr91,100,73,55,145
Slc23a4,5,10,17,13
Cnot4,1770,1783,1573,3402
Gm33046,1,2,3,4
Nup205,276,279,265,562
Stmp1,25,38,22,38
Mtpn,225,239,212,481
9330158H04Rik,0,0,0,1
Chrm2,9,1,2,15
Ptn,5,2,0,1
Dgki,97,89,12,162
1700111E14Rik,3,2,1,0
Creb3l2,1377,1991,1641,3278
Gm33318,6,12,8,23
Trim24,820,743,794,1817
Svopl,3,2,3,2
Atp6v0a4,7,14,8,26
D630045J12Rik,312,337,279,623
Zc3hav1l,21,24,21,25
Zc3hav1,595,502,476,966
Ttc26,200,288,239,464
Ubn2,3274,4024,3688,7171
Fmc1,6,16,11,14
Gm56952,10,10,12,12
Luc7l2,4024,3751,4347,8704
Klrg2,0,0,0,3
Gm56936,17,24,20,41
Hipk2,1377,1652,1372,2768
Tbxas1,6,11,2,10
Parp12,176,146,157,310
4930599N23Rik,48,65,57,140
Kdm7a,1385,1348,1352,2793
Gm49041,25,45,41,52
Slc37a3,401,546,460,866
Rab19,10,11,12,11
Mkrn1,207,281,249,402
Gm10244,2,4,5,4
Dennd2a,356,356,328,850
8030453O22Rik,3,8,2,22
Adck2,87,120,80,160
Gm16272,32,24,62,81
Ndufb2,61,90,83,173
Braf,3113,2824,3385,7370
Mrps33,43,90,75,89
Tmem178b,6623,7520,7599,13149
Gm26638,55,62,55,127
Gm26807,0,0,3,5
Agk,353,478,461,803
Dennd11,313,556,378,809
Wee2,11,14,11,32
Ssbp1,182,316,224,378
Clec5a,0,0,0,0
Mgam,19,9,22,35
Mgam2-ps,0,0,0,5
Prss3b,1,17,1,1
Try4,1,11,11,1
Try5,0,7,2,8
Prss2,1,10,0,1
Ephb6,2,0,2,2
Gstk1,3,2,7,2
Tmem139,0,0,1,0
Casp2,111,97,117,200
Clcn1,15,4,4,25
Zyx,56,41,51,130
Epha1,3,11,4,17
2010310C07Rik,6,2,10,14
Tcaf2,4,3,1,5
Tcaf1,420,607,545,843
Arhgef5,220,328,181,363
Tpk1,1384,1447,1540,3221
Gm35113,7,16,18,19
Cntnap2,2782,3471,311,3082
Cul1,995,961,945,1905
Ezh2,16,18,14,10
Pdia4,171,212,191,291
Zfp786,5,19,11,4
Zfp398,795,868,817,1311
Zfp282,356,403,368,662
Zfp212,81,51,96,151
Zfp783,155,206,241,364
Zfp956,172,172,174,324
Zfp777,92,125,95,150
Gm45738,0,0,1,1
Zfp746,205,273,258,416
Gm16630,1,5,0,3
Gm54719,44,35,18,42
Krba1,155,218,166,355
Zfp467,125,102,88,155
Sspo,10,6,4,17
1700026J14Rik,1,0,0,1
Atp6v0e2,24,40,31,47
Lrrc61,33,45,23,38
Rarres2,0,1,0,1
Repin1,45,23,18,59
Zfp775,33,34,26,29
Gm38804,2,3,3,5
Gimap8,23,24,0,2
Gimap9,3,11,0,1
Gimap4,16,24,0,2
Gimap6,54,38,7,24
Gimap1,6,4,1,3
Gimap5,9,3,0,3
4833403J16Rik,1,2,0,0
Gimap3,23,34,0,6
Tmem176b,63,75,87,173
Tmem176a,37,44,54,99
Gm56981,5,5,2,3
Malsu1,229,224,341,590
Igf2bp3,17,47,27,60
Tra2a,1759,1583,2040,4240
Ccdc126,17,19,14,28
Fam221a,55,48,100,128
Npy,0,3,3,0
Pals2,73,86,41,130
Gsdme,52,59,47,90
Osbpl3,336,407,340,752
Cycs,12,34,27,41
5430402O13Rik,33,65,59,57
4921507P07Rik,18,25,18,22
C530044C16Rik,18,24,13,28
Gm44109,23,50,48,38
Nfe2l3,2,3,4,7
Hnrnpa2b1,3179,3573,3145,6339
Cbx3,319,339,348,597
Snx10,321,471,430,877
Skap2,425,488,515,943
Gm44077,2,4,3,5
Hotairm1,1,0,0,0
Hoxa2,0,0,0,0
Hoxa3,1,1,0,0
Hoxaas3,0,1,0,0
Hoxa5,0,0,0,1
Hoxa7,0,2,0,0
Hibadh,866,1060,872,1930
Tax1bp1,1441,1177,1476,3501
Jazf1,4683,5474,4475,8901
Creb5,122,57,93,274
Tril,0,0,2,0
Chn2,258,365,164,501
Gm15527,1,5,8,6
9130019P16Rik,2,5,3,15
Prr15,4,6,2,5
Wipf3,33,41,49,88
Gm44026,11,5,21,48
Scrn1,272,301,333,475
Fkbp14,121,227,168,297
Plekha8,175,210,168,317
Gm28402,1,4,1,4
Mturn,140,89,104,230
Znrf2,613,663,340,825
Nod1,187,260,164,329
Ggct,41,47,29,48
Gars,805,874,684,1490
Crhr2,1,4,3,3
Inmt,2,1,2,0
Mindy4,398,376,347,745
Gm44073,0,3,4,6
Aqp1,4,2,2,5
Adcyap1r1,0,0,0,2
Ppp1r17,18,18,6,35
Pde1c,2087,6142,2575,3945
Lsm5,11,22,30,62
Avl9,982,779,1254,2334
Kbtbd2,139,157,108,220
Fkbp9,299,412,297,498
Nt5c3,358,419,303,702
Vmn1r4,12,22,20,27
Ppm1k,82,77,56,145
Herc6,310,274,247,662
Lancl2,109,104,114,273
Vopp1,167,160,188,338
Vmn1r30,1,2,10,4
Gm35077,15,86,59,38
Abcg2,189,246,245,363
Herc3,703,788,662,1302
Nap1l5,1220,1160,1132,2433
Fam13a,203,223,409,517
Tigd2,114,201,169,246
Gprin3,441,657,525,780
Gm5570,0,1,0,0
Snca,30,39,8,21
A730020E08Rik,23,51,40,59
Ccser1,10559,12249,13240,22544
Grid2,115,111,11,160
Smarcad1,776,790,770,1561
Hpgds,12,27,25,10
Tnip3,5,0,0,0
Ndnf,0,2,0,4
Prdm5,450,554,540,1006
2610300M13Rik,0,0,1,1
Mad2l1,8,14,16,22
Gng12,1114,2034,912,1730
Gm36816,5,11,5,6
Gadd45a,59,45,35,70
E230016M11Rik,271,354,368,673
A430010J10Rik,25,12,31,34
Gm38825,5,4,10,10
Serbp1,522,647,495,946
Il12rb2,9,15,9,17
Gm30211,5,5,0,2
Igkc,128,161,6,14
Rpia,179,118,134,260
Eif2ak3,2005,1500,2147,4629
Thnsl2,20,32,31,57
Smyd1,4,13,4,15
Krcc1,126,249,225,314
Gm44174,1,6,2,0
Rmnd5a,1199,1129,1273,2535
Rnf103,378,346,554,921
Chmp3,305,330,326,646
Kdm3a,504,481,459,932
Reep1,100,200,153,211
Mrpl35,9,23,17,19
Immt,351,452,287,621
Ptcd3,335,367,283,621
Polr1a,232,249,207,403
St3gal5,193,209,124,422
Gm38832,2,2,2,5
Atoh8,32,20,21,51
Usp39,95,78,45,146
Gm45051,5,7,6,7
0610030E20Rik,167,229,195,397
Tmem150a,37,59,43,85
Rnf181,60,94,82,98
Vamp5,13,24,13,27
Vamp8,29,35,37,41
Ggcx,412,530,335,636
Mat2a,289,496,269,531
Capg,2,3,3,4
Elmod3,73,74,59,115
Retsat,7,4,8,10
Tgoln1,397,353,522,852
Gm20536,22,12,39,31
Tcf7l1,28,23,10,45
Gm15402,2,4,0,0
Kcmf1,811,908,801,1563
Tmsb10,19,22,20,24
Suclg1,162,229,141,280
Ctnna2,3553,3170,2729,6659
Lrrtm1,7,3,3,13
Reg1,4,10,3,2
Gm4409,2,1,2,2
Lrrtm4,290,186,116,519
Gcfc2,233,185,233,416
Mrpl19,38,56,45,70
Eva1a,1,0,1,1
Pole4,52,66,45,114
Hk2,6,0,0,0
Sema4f,154,176,97,336
Dok1,9,6,1,5
Loxl3,16,34,25,26
Htra2,23,32,20,39
Aup1,89,84,60,143
Dqx1,9,16,10,30
Pcgf1,25,26,29,72
Lbx2,0,0,0,0
Ccdc142,15,13,16,28
Ccdc142os,9,19,13,24
Mrpl53,20,30,24,47
Gm56977,5,8,5,15
Mogs,32,59,50,74
Wbp1,49,89,81,147
Ino80b,59,90,47,94
Rtkn,50,55,41,49
Wdr54,6,6,7,13
1700003E16Rik,3,4,5,5
Dctn1,289,314,201,364
Slc4a5,6,5,6,16
Mthfd2,75,92,29,131
Mob1a,67,107,69,135
Bola3,38,46,48,78
Tet3,465,613,463,633
B230319C09Rik,5,4,1,5
Dguok,154,232,195,372
Stambp,134,161,165,281
Gm21284,18,17,21,43
1700124L16Rik,1,2,1,9
Tex261,49,80,56,113
Nagk,203,270,273,458
Paip2b,168,214,197,304
Zfp638,2182,2149,1992,3862
Gm43920,18,17,29,64
Dysf,26,27,0,21
Gm44127,39,26,122,270
Cyp26b1,8,3,0,9
Exoc6b,3645,5108,4072,7163
Spr,7,21,17,14
Emx1,0,0,1,0
Sfxn5,109,95,69,181
Rab11fip5,61,59,52,98
Smyd5,64,110,96,113
Pradc1,16,27,27,33
Cct7,160,196,127,256
Fbxo41,67,116,75,93
Egr4,23,1,10,80
Alms1,848,658,778,1426
Nat8f4,3,6,4,8
Nat8f1,6,16,11,14
Tprkb,79,101,103,167
Dusp11,321,395,331,602
Gm19265,25,52,27,36
Add2,13,24,21,30
Tgfa,19,20,28,35
Fam136a,25,32,52,49
Snrpg,80,94,110,172
Pcyox1,29,67,52,77
Tia1,1051,1347,1107,2175
C87436,135,185,192,295
A430078I02Rik,6,16,24,20
2310040G24Rik,1,4,4,3
Gm44386,5,5,1,10
Pcbp1,71,156,92,153
1600020E01Rik,494,637,583,1048
Asprv1,6,1,3,14
Mxd1,275,224,204,498
Snrnp27,47,95,62,91
Gm44214,6,2,4,7
Gmcl1,354,420,311,568
Gm44036,0,5,6,6
Anxa4,360,389,439,780
2610306M01Rik,6,11,2,3
Aak1,2277,3249,2253,5064
Gm44091,5,4,5,14
Nfu1,63,117,78,115
Gfpt1,979,1416,1094,2028
D6Ertd527e,2,1,0,7
Antxr1,1,2,2,4
Arhgap25,47,35,0,2
Aplf,26,41,24,58
Cfap92,103,58,99,222
Gm44210,17,16,26,52
Efcc1,412,438,387,679
Rab43,251,239,260,548
Isy1,156,138,158,392
Cnbp,494,397,537,1088
Copg1,457,627,481,955
Gm26636,26,23,27,37
Hmces,362,335,365,844
H1f10,20,22,58,46
Gm5577,131,117,156,242
Rab7,1032,827,856,2181
Gm56988,0,0,0,2
Rpn1,235,390,307,579
Gata2,2,1,0,0
Eefsec,524,632,514,1073
Gm44265,2,4,4,2
Ruvbl1,59,100,51,125
Sec61a1,508,725,532,1193
Kbtbd12,10,5,8,24
Mgll,17,59,0,23
Abtb1,55,54,51,114
Podxl2,37,53,36,47
Gm15612,9,10,5,11
Mcm2,33,17,17,43
Tpra1,86,90,75,155
4933427D06Rik,1,5,4,1
4930512J16Rik,4,3,4,9
Gm26811,1,4,8,9
Plxna1,92,90,59,148
Chchd6,738,888,723,1385
Txnrd3,39,29,21,65
Uroc1,8,2,7,3
Zxdc,400,284,324,674
Cfap100,2,1,3,4
Klf15,8,17,13,30
Aldh1l1,1,2,2,3
Slc41a3,21,14,18,22
Iqsec1,340,578,268,545
Nup210,748,790,519,1287
Hdac11,122,172,166,243
Fbln2,0,0,0,2
1810044D09Rik,13,19,10,28
Chchd4,18,38,35,31
Tmem43,19,29,28,59
Xpc,111,160,128,215
Lsm3,39,33,38,53
Gm45216,1,2,0,0
Gm45218,3,1,13,12
Slc6a6,1395,1606,1238,3190
Grip2,2,0,0,4
Ccdc174,207,259,221,410
4930590J08Rik,20,19,27,62
Fgd5,12,17,2,4
Nr2c2,999,1313,1347,2420
Mrps25,60,88,56,122
Rbsn,199,182,182,401
Prickle2,348,326,387,593
Adamts9,424,343,451,881
A730049H05Rik,3,13,3,15
Gm15737,5,1,7,9
9530026P05Rik,1088,478,1839,2463
Magi1,2649,3457,3133,5568
Slc25a26,212,197,274,542
Lrig1,1095,1050,1094,2159
Kbtbd8,22,16,18,34
Suclg2,695,761,709,1457
Tafa1,409,517,154,583
Tafa4,9,13,26,25
Eogt,109,160,98,212
Tmf1,336,416,341,651
Uba3,120,183,145,318
Gm56976,0,2,0,4
